,WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
10,1,Auckland,ASB Classic,2007-01-02,4,Outdoor,Hard,1st Round,3,Hantuchova D.,Cibulkova D.,17.0,153.0,986.0,181.5,6.0,1.0,3.0,6.0,6.0,2.0,2.0,1.0,Completed,1.28,3.25,1.13,5.4,,,1.185,5.91,1.14,5.25,2007-W-T4-NZL-01A-2007,Auckland,Hard,32,T4,2007-01-02,12,201290,3.0,,Hantuchova D.,R,181.0,SVK,23.6933607118,17.0,986.0,201495,,,Cibulkova D.,R,161.0,SVK,17.6563997262,153.0,181.0,6-1 3-6 6-2,3,R32,,2.0,0.0,67.0,41.0,29.0,16.0,,3.0,5.0,0.0,8.0,81.0,50.0,30.0,11.0,,3.0,8.0
11,1,Auckland,ASB Classic,2007-01-02,4,Outdoor,Hard,1st Round,3,Granville L.,Oprandi R.,68.0,53.0,372.5,421.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.66,2.1,1.69,2.1,1.68,2.1,1.649,2.44,1.7,2.1,2007-W-T4-NZL-01A-2007,Auckland,Hard,32,T4,2007-01-02,10,201281,,,Granville L.,R,175.0,USA,25.6399726215,68.0,372.0,201472,,,Oprandi R.,R,,SUI,20.7611225188,53.0,421.0,6-3 6-4,3,R32,,0.0,1.0,54.0,33.0,24.0,13.0,,1.0,2.0,0.0,1.0,58.0,34.0,19.0,13.0,,1.0,4.0
12,1,Auckland,ASB Classic,2007-01-02,4,Outdoor,Hard,1st Round,3,Zvonareva V.,Osterloh L.,24.0,118.0,781.0,258.5,5.0,7.0,6.0,2.0,6.0,3.0,2.0,1.0,Completed,1.14,5,1.14,5.25,1.18,4.5,1.178,6.11,1.15,5.1,2007-W-T4-NZL-01A-2007,Auckland,Hard,32,T4,2007-01-02,9,201329,5.0,,Zvonareva V.,R,172.0,RUS,22.3162217659,24.0,781.0,200068,,Q,Osterloh L.,R,,USA,28.7364818617,118.0,258.0,5-7 6-2 6-3,3,R32,,3.0,7.0,101.0,62.0,41.0,16.0,,12.0,16.0,1.0,6.0,92.0,56.0,30.0,15.0,,4.0,11.0
13,1,Auckland,ASB Classic,2007-01-02,4,Outdoor,Hard,1st Round,3,Jankovic J.,Schruff J.,12.0,82.0,1211.0,326.75,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.12,5.5,1.12,5.65,1.15,5.0,1.159,6.7,1.14,5.25,2007-W-T4-NZL-01A-2007,Auckland,Hard,32,T4,2007-01-02,1,201347,1.0,,Jankovic J.,R,177.0,SRB,21.839835729,12.0,1211.0,201361,,,Schruff J.,R,,GER,24.3778234086,82.0,326.0,6-3 6-4,3,R32,,6.0,4.0,57.0,35.0,27.0,9.0,,1.0,3.0,0.0,0.0,75.0,44.0,22.0,16.0,,11.0,15.0
14,1,Auckland,ASB Classic,2007-01-02,4,Outdoor,Hard,2nd Round,3,Craybas J.,Dulko G.,70.0,59.0,365.5,401.75,6.0,3.0,7.0,5.0,,,2.0,0.0,Completed,1.72,2,1.72,2.05,1.8,1.95,1.741,2.25,1.75,2.0,2007-W-T4-NZL-01A-2007,Auckland,Hard,32,T4,2007-01-02,24,200754,,,Craybas J.,R,160.0,USA,32.4955509925,70.0,365.0,201363,,,Dulko G.,R,170.0,ARG,21.9192334018,59.0,401.0,6-3 7-5,3,R16,,3.0,3.0,77.0,48.0,30.0,15.0,,4.0,7.0,0.0,1.0,66.0,50.0,27.0,5.0,,3.0,8.0
15,1,Auckland,ASB Classic,2007-01-02,4,Outdoor,Hard,2nd Round,3,Loit E.,Bartoli M.,56.0,18.0,418.5,951.0,7.0,5.0,6.0,4.0,,,2.0,0.0,Completed,3.25,1.28,4.0,1.22,3.75,1.25,4.38,1.272,3.5,1.28,2007-W-T4-NZL-01A-2007,Auckland,Hard,32,T4,2007-01-02,19,200104,,,Loit E.,L,,FRA,27.5646817248,56.0,418.0,201294,4.0,,Bartoli M.,R,170.0,FRA,22.2477754962,18.0,951.0,7-5 6-4,3,R16,,4.0,4.0,63.0,41.0,30.0,10.0,,1.0,4.0,1.0,7.0,80.0,48.0,28.0,13.0,,5.0,10.0
16,1,Auckland,ASB Classic,2007-01-03,4,Outdoor,Hard,2nd Round,3,Daniilidou E.,Erakovic M.,36.0,162.0,538.75,171.0,6.0,4.0,2.0,6.0,6.0,4.0,2.0,1.0,Completed,1.22,4,1.22,4.0,1.25,3.75,1.303,4.0,,,2007-W-T4-NZL-01A-2007,Auckland,Hard,32,T4,2007-01-03,18,201305,7.0,,Daniilidou E.,R,182.0,GRE,24.2847364819,36.0,538.0,201523,,WC,Erakovic M.,R,174.0,NZL,18.8227241615,162.0,171.0,6-4 2-6 6-4,3,R16,,0.0,8.0,105.0,75.0,39.0,14.0,,12.0,18.0,3.0,4.0,77.0,39.0,20.0,20.0,,2.0,8.0
17,1,Auckland,ASB Classic,2007-01-03,4,Outdoor,Hard,2nd Round,3,Pin C.,Meusburger Y.,75.0,135.0,349.0,210.75,2.0,6.0,6.0,3.0,6.0,3.0,2.0,1.0,Completed,1.53,2.37,1.55,2.35,1.5,2.5,1.654,2.43,1.57,2.33,2007-W-T4-NZL-01A-2007,Auckland,Hard,32,T4,2007-01-03,20,201301,,,Pin C.,U,162.0,FRA,25.3524982888,75.0,349.0,201423,,Q,Meusburger Y.,R,,AUT,23.2470910335,135.0,210.0,2-6 6-3 6-3,3,R16,,0.0,3.0,82.0,67.0,38.0,9.0,,5.0,9.0,1.0,3.0,81.0,64.0,38.0,7.0,,4.0,9.0
18,1,Auckland,ASB Classic,2007-01-03,4,Outdoor,Hard,2nd Round,3,Jankovic J.,Laine E.,12.0,74.0,1211.0,349.75,6.0,2.0,6.0,1.0,,,2.0,0.0,Completed,1.14,5,1.1,6.3,1.14,5.2,1.149,7.1,1.14,5.3,2007-W-T4-NZL-01A-2007,Auckland,Hard,32,T4,2007-01-03,17,201347,1.0,,Jankovic J.,R,177.0,SRB,21.839835729,12.0,1211.0,201441,,,Laine E.,L,,FIN,20.7693360712,74.0,349.0,6-2 6-1,3,R16,,0.0,3.0,64.0,44.0,33.0,6.0,,2.0,3.0,0.0,1.0,42.0,22.0,9.0,7.0,,3.0,8.0
19,1,Auckland,ASB Classic,2007-01-03,4,Outdoor,Hard,2nd Round,3,Razzano V.,Hantuchova D.,88.0,17.0,319.0,986.0,6.0,1.0,7.0,5.0,,,2.0,0.0,Completed,3.25,1.28,3.05,1.35,3.46,1.28,3.96,1.307,3.5,1.28,2007-W-T4-NZL-01A-2007,Auckland,Hard,32,T4,2007-01-03,22,200043,,Q,Razzano V.,R,173.0,FRA,23.6413415469,88.0,319.0,201290,3.0,,Hantuchova D.,R,181.0,SVK,23.6933607118,17.0,986.0,6-1 7-5,3,R16,,2.0,1.0,57.0,36.0,24.0,12.0,,2.0,4.0,1.0,4.0,78.0,47.0,28.0,8.0,,8.0,14.0
20,1,Auckland,ASB Classic,2007-01-03,4,Outdoor,Hard,2nd Round,3,Zvonareva V.,Granville L.,24.0,68.0,781.0,372.5,6.0,4.0,6.0,1.0,,,2.0,0.0,Completed,1.28,3.25,1.25,3.7,1.25,3.75,1.234,4.87,1.28,3.5,2007-W-T4-NZL-01A-2007,Auckland,Hard,32,T4,2007-01-03,21,201329,5.0,,Zvonareva V.,R,172.0,RUS,22.3162217659,24.0,781.0,201281,,,Granville L.,R,175.0,USA,25.6399726215,68.0,372.0,6-4 6-1,3,R16,,3.0,5.0,63.0,42.0,30.0,9.0,,6.0,7.0,0.0,1.0,82.0,48.0,21.0,19.0,,16.0,21.0
21,1,Auckland,ASB Classic,2007-01-03,4,Outdoor,Hard,Quarterfinals,3,Pin C.,Loit E.,75.0,56.0,349.0,418.5,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,2.2,1.61,2.2,1.63,2.15,1.65,2.21,1.763,2.05,1.73,2007-W-T4-NZL-01A-2007,Auckland,Hard,32,T4,2007-01-03,26,201301,,,Pin C.,U,162.0,FRA,25.3524982888,75.0,349.0,200104,,,Loit E.,L,,FRA,27.5646817248,56.0,418.0,6-3 6-3,3,QF,,0.0,2.0,57.0,47.0,33.0,2.0,,3.0,5.0,0.0,1.0,54.0,31.0,16.0,8.0,,4.0,9.0
22,1,Auckland,ASB Classic,2007-01-04,4,Outdoor,Hard,Quarterfinals,3,Craybas J.,Suarez P.,70.0,178.0,365.5,155.75,6.0,3.0,7.0,6.0,,,2.0,0.0,Completed,2.0,1.72,1.95,1.8,1.95,1.8,2.2,1.769,1.98,1.78,2007-W-T4-NZL-01A-2007,Auckland,Hard,32,T4,2007-01-04,28,200754,,,Craybas J.,R,160.0,USA,32.4955509925,70.0,365.0,200107,,,Suarez P.,R,170.0,ARG,30.5242984257,178.0,155.0,6-3 7-6(4),3,QF,,1.0,4.0,79.0,51.0,31.0,17.0,,0.0,2.0,3.0,2.0,59.0,37.0,26.0,8.0,,6.0,9.0
23,1,Auckland,ASB Classic,2007-01-04,4,Outdoor,Hard,Quarterfinals,3,Jankovic J.,Daniilidou E.,12.0,36.0,1211.0,538.75,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.19,4,1.17,4.65,1.2,4.25,1.241,4.75,1.23,4.0,2007-W-T4-NZL-01A-2007,Auckland,Hard,32,T4,2007-01-04,25,201347,1.0,,Jankovic J.,R,177.0,SRB,21.839835729,12.0,1211.0,201305,7.0,,Daniilidou E.,R,182.0,GRE,24.2847364819,36.0,538.0,6-3 6-4,3,QF,,1.0,0.0,55.0,34.0,26.0,14.0,,3.0,4.0,0.0,2.0,61.0,41.0,22.0,12.0,,4.0,7.0
24,1,Auckland,ASB Classic,2007-01-04,4,Outdoor,Hard,Quarterfinals,3,Zvonareva V.,Razzano V.,24.0,88.0,781.0,319.0,7.0,5.0,2.0,0.0,,,1.0,0.0,Retired,1.28,3.25,1.33,3.15,1.3,3.3,1.394,3.34,1.29,3.45,2007-W-T4-NZL-01A-2007,Auckland,Hard,32,T4,2007-01-04,27,201329,5.0,,Zvonareva V.,R,172.0,RUS,22.3162217659,24.0,781.0,200043,,Q,Razzano V.,R,173.0,FRA,23.6413415469,88.0,319.0,7-5 2-0 RET,3,QF,,0.0,1.0,39.0,26.0,18.0,9.0,,0.0,1.0,0.0,5.0,58.0,37.0,21.0,9.0,,7.0,10.0
25,3,Hobart,Moorilla Hobart International,2007-01-07,4,Outdoor,Hard,1st Round,3,Chakvetadze A.,Dominguez Lino L.,13.0,51.0,1144.0,421.75,6.0,0.0,6.0,4.0,,,2.0,0.0,Completed,,,1.13,5.4,1.12,5.65,1.167,6.4,,,2007-W-T4-AUS-01A-2007,Hobart,Hard,32,T4,2007-01-07,1,201403,1.0,,Chakvetadze A.,R,170.0,RUS,19.8466803559,13.0,1144.0,201452,,,Dominguez Lino L.,R,163.0,ESP,25.7741273101,51.0,421.0,6-0 6-4,3,R32,,,,,,,,,,,,,,,,,,,
26,3,Hobart,Moorilla Hobart International,2007-01-08,4,Outdoor,Hard,1st Round,3,Oprandi R.,Likhovtseva E.,52.0,44.0,421.0,451.0,7.0,6.0,6.0,1.0,,,2.0,0.0,Completed,,,2.9,1.38,,,2.86,1.485,,,2007-W-T4-AUS-01A-2007,Hobart,Hard,32,T4,2007-01-08,6,201472,,,Oprandi R.,R,,SUI,20.7802874743,52.0,421.0,200048,,,Likhovtseva E.,R,,RUS,31.3347022587,44.0,451.0,7-6(3) 6-1,3,R32,,1.0,3.0,63.0,40.0,25.0,11.0,,4.0,7.0,0.0,7.0,104.0,63.0,34.0,15.0,,11.0,17.0
27,3,Hobart,Moorilla Hobart International,2007-01-08,4,Outdoor,Hard,1st Round,3,Castano C.,Vinci R.,46.0,83.0,449.0,331.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,2.0,1.72,2.2,1.63,,,2.5,1.625,2.1,1.7,2007-W-T4-AUS-01A-2007,Hobart,Hard,32,T4,2007-01-08,10,201293,,,Castano C.,R,171.0,COL,27.5071868583,46.0,449.0,201311,,,Vinci R.,R,163.0,ITA,23.8877481177,83.0,331.0,6-3 6-4,3,R32,,1.0,2.0,62.0,44.0,30.0,11.0,,1.0,2.0,0.0,2.0,62.0,38.0,26.0,8.0,,6.0,9.0
28,3,Hobart,Moorilla Hobart International,2007-01-08,4,Outdoor,Hard,1st Round,3,Mirza S.,Kirilenko M.,66.0,29.0,382.0,633.0,6.0,4.0,6.0,4.0,,,2.0,0.0,Completed,1.83,1.83,1.87,1.87,1.87,1.87,1.885,2.03,1.9,1.86,2007-W-T4-AUS-01A-2007,Hobart,Hard,32,T4,2007-01-08,5,201420,,WC,Mirza S.,R,153.0,IND,20.1478439425,66.0,382.0,201373,4.0,,Kirilenko M.,R,173.0,RUS,19.9534565366,29.0,633.0,6-4 6-4,3,R32,,1.0,5.0,58.0,35.0,23.0,9.0,,6.0,10.0,0.0,2.0,66.0,47.0,20.0,10.0,,4.0,10.0
29,3,Hobart,Moorilla Hobart International,2007-01-08,4,Outdoor,Hard,1st Round,3,Safarova L.,Muller M.,74.0,36.0,356.0,545.0,7.0,6.0,6.0,2.0,,,2.0,0.0,Completed,1.53,2.37,1.55,2.45,1.53,2.4,1.617,2.52,1.5,2.5,2007-W-T4-AUS-01A-2007,Hobart,Hard,32,T4,2007-01-08,13,201425,,,Safarova L.,L,177.0,CZE,19.9260780287,74.0,356.0,201310,8.0,,Muller M.,R,,GER,24.2436687201,36.0,545.0,7-6(5) 6-2,3,R32,,0.0,9.0,76.0,46.0,32.0,13.0,,10.0,13.0,1.0,4.0,62.0,38.0,23.0,9.0,,3.0,8.0
30,3,Hobart,Moorilla Hobart International,2007-01-08,4,Outdoor,Hard,1st Round,3,Bammer S.,Harkleroad A.,56.0,87.0,415.25,320.0,7.0,6.0,6.0,1.0,,,2.0,0.0,Completed,2.0,1.72,2.1,1.69,,,1.833,2.1,,,2007-W-T4-AUS-01A-2007,Hobart,Hard,32,T4,2007-01-08,15,201446,,,Bammer S.,L,174.0,AUT,26.6995208761,56.0,415.0,201315,,,Harkleroad A.,R,,USA,21.6865160849,87.0,320.0,7-6(2) 6-1,3,R32,,1.0,1.0,59.0,45.0,34.0,5.0,,0.0,2.0,0.0,2.0,60.0,42.0,25.0,6.0,,3.0,7.0
31,3,Hobart,Moorilla Hobart International,2007-01-08,4,Outdoor,Hard,1st Round,3,Medina Garrigues A.,Vesnina E.,28.0,42.0,684.0,469.75,6.0,1.0,6.0,3.0,,,2.0,0.0,Completed,1.72,2,1.8,1.95,1.75,2.0,2.06,1.862,1.82,1.94,2007-W-T4-AUS-01A-2007,Hobart,Hard,32,T4,2007-01-08,16,201286,2.0,,Medina Garrigues A.,R,169.0,ESP,24.4407939767,28.0,684.0,201455,,,Vesnina E.,R,176.0,RUS,20.4380561259,42.0,469.0,6-1 6-3,3,R32,,1.0,1.0,42.0,18.0,16.0,16.0,,0.0,0.0,2.0,10.0,60.0,33.0,22.0,9.0,,7.0,11.0
32,3,Hobart,Moorilla Hobart International,2007-01-08,4,Outdoor,Hard,1st Round,3,Bondarenko A.,Moore J.,32.0,992.0,585.75,6.75,6.0,2.0,7.0,6.0,,,2.0,0.0,Completed,1.07,7,1.1,6.3,1.08,6.99,1.08,11.0,,,2007-W-T4-AUS-01A-2007,Hobart,Hard,32,T4,2007-01-08,8,201416,6.0,,Bondarenko A.,R,168.0,UKR,22.4038329911,32.0,585.0,201487,,WC,Moore J.,R,,AUS,16.3969883641,992.0,6.0,6-2 7-6(6),3,R32,,1.0,3.0,74.0,47.0,31.0,12.0,,5.0,8.0,1.0,5.0,71.0,35.0,18.0,16.0,,4.0,9.0
33,3,Hobart,Moorilla Hobart International,2007-01-08,4,Outdoor,Hard,1st Round,3,Bardina V.,Dulko G.,70.0,55.0,365.5,415.75,6.0,1.0,6.0,3.0,,,2.0,0.0,Completed,,,,,,,,,,,2007-W-T4-AUS-01A-2007,Hobart,Hard,32,T4,2007-01-08,11,201473,,Q,Bardina V.,R,,RUS,19.1074606434,70.0,365.0,201363,,,Dulko G.,R,170.0,ARG,21.9383983573,55.0,415.0,6-1 6-3,3,R32,,1.0,2.0,45.0,37.0,30.0,5.0,,2.0,2.0,0.0,1.0,40.0,25.0,14.0,5.0,,1.0,5.0
34,3,Hobart,Moorilla Hobart International,2007-01-08,4,Outdoor,Hard,1st Round,3,Nakamura A.,Pennetta F.,64.0,31.0,390.0,608.0,7.0,5.0,7.0,5.0,,,2.0,0.0,Completed,,,,,,,,,,,2007-W-T4-AUS-01A-2007,Hobart,Hard,32,T4,2007-01-08,12,201411,,Q,Nakamura A.,R,163.0,JPN,23.0308008214,64.0,390.0,201355,3.0,,Pennetta F.,R,172.0,ITA,24.8678986995,31.0,608.0,7-5 7-5,3,R32,,3.0,2.0,70.0,45.0,26.0,9.0,,8.0,14.0,3.0,9.0,64.0,27.0,15.0,9.0,,2.0,10.0
35,3,Hobart,Moorilla Hobart International,2007-01-08,4,Outdoor,Hard,1st Round,3,Williams S.,Arvidsson S.,94.0,60.0,301.0,395.75,6.0,4.0,6.0,0.0,,,2.0,0.0,Completed,1.12,5,1.11,6.0,1.12,5.65,1.131,7.95,1.12,5.75,2007-W-T4-AUS-01A-2007,Hobart,Hard,32,T4,2007-01-08,14,200033,,,Williams S.,R,175.0,USA,25.2840520192,94.0,301.0,201387,,,Arvidsson S.,R,176.0,SWE,22.893908282,60.0,395.0,6-4 6-0,3,R32,,4.0,4.0,56.0,31.0,24.0,9.0,,4.0,6.0,1.0,2.0,42.0,24.0,9.0,6.0,,2.0,8.0
36,3,Hobart,Moorilla Hobart International,2007-01-09,4,Outdoor,Hard,2nd Round,3,Castano C.,Santangelo M.,46.0,30.0,449.0,611.5,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,2.1,1.66,2.1,1.69,2.12,1.67,2.38,1.676,2.15,1.67,2007-W-T4-AUS-01A-2007,Hobart,Hard,32,T4,2007-01-09,21,201293,,,Castano C.,R,171.0,COL,27.5071868583,46.0,449.0,201379,5.0,,Santangelo M.,R,181.0,ITA,25.53045859,30.0,611.0,6-3 6-2,3,R16,,5.0,4.0,59.0,34.0,23.0,9.0,,3.0,6.0,3.0,7.0,49.0,25.0,12.0,7.0,,2.0,8.0
37,3,Hobart,Moorilla Hobart International,2007-01-09,4,Outdoor,Hard,2nd Round,3,Bammer S.,Medina Garrigues A.,56.0,28.0,415.25,684.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,2.75,1.39,3.5,1.28,2.8,1.4,3.43,1.38,3.0,1.37,2007-W-T4-AUS-01A-2007,Hobart,Hard,32,T4,2007-01-09,24,201446,,,Bammer S.,L,174.0,AUT,26.6995208761,56.0,415.0,201286,2.0,,Medina Garrigues A.,R,169.0,ESP,24.4407939767,28.0,684.0,6-4 6-3,3,R16,,1.0,2.0,50.0,42.0,29.0,4.0,,3.0,5.0,1.0,2.0,71.0,50.0,27.0,9.0,,7.0,12.0
